Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
106,2018-11-15,1035,793.922,1443.84,2222.08
106,2018-11-15,1040,832.777,716.8,2580.48
106,2018-11-15,1045,999.844,542.72,2836.48
106,2018-11-15,1050,1258.42,542.72,2478.08
106,2018-11-15,1055,1188.595,460.8,0.0
106,2018-11-15,1100,1281.862,921.6,706.56
106,2018-11-15,1105,458.679,1198.08,1546.24
106,2018-11-15,1110,468.266,860.16,1914.88
106,2018-11-15,1115,606.501,532.48,2723.84
106,2018-11-15,1120,563.444,727.04,2621.44
106,2018-11-15,1125,1302.125,471.04,2713.6
106,2018-11-15,1130,462.738,450.56,2017.28
106,2018-11-15,1135,,,
106,2018-11-15,1140,936.107,235.52,2703.36
106,2018-11-15,1145,479.91,614.4,2344.96
106,2018-11-15,1150,,,
106,2018-11-15,1155,476.12,962.56,1556.48
106,2018-11-15,1200,575.591,1372.16,2068.48
106,2018-11-15,1205,855.828,337.92,1986.56
106,2018-11-15,1210,1369.392,1341.44,2498.56
106,2018-11-15,1215,506.322,552.96,1966.08
106,2018-11-15,1220,677.677,419.84,2088.96
106,2018-11-15,1225,,,
106,2018-11-15,1230,824.273,0.0,1546.24
106,2018-11-15,1235,1107.881,532.48,2314.24
106,2018-11-15,1240,579.71,399.36,2682.88
106,2018-11-15,1245,455.424,542.72,2242.56
106,2018-11-15,1250,489.45,194.56,0.0
106,2018-11-15,1255,686.411,225.28,2631.68
106,2018-11-15,1300,638.2,194.56,2754.56
106,2018-11-15,1305,469.273,686.08,2334.72
106,2018-11-15,1310,,,
106,2018-11-15,1315,958.581,307.2,1976.32
106,2018-11-15,1320,1171.579,256.0,2437.12
106,2018-11-15,1325,449.61,675.84,2498.56
106,2018-11-15,1330,682.875,296.96,1556.48
106,2018-11-15,1335,1334.39,286.72,1996.8
106,2018-11-15,1340,467.276,1228.8,624.64
106,2018-11-15,1345,,,
106,2018-11-15,1350,,,
106,2018-11-15,1355,,,
106,2018-11-15,1400,588.32,1402.88,2283.52
106,2018-11-15,1405,1294.939,665.6,2314.24
106,2018-11-15,1410,444.123,808.96,2856.96
